ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,RESTAURANTPAIR1002,SYSTEM1.TXT,0.11111,0.11111,0.11111,1

ROUGE-1,RESTAURANTPAIR1002,SYSTEM1.TXT,0.10000,0.10000,0.10000,1

ROUGE-2,RESTAURANTPAIR1002,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1002,SYSTEM1.TXT,0.02500,0.02500,0.02500,1

ROUGE-L,RESTAURANTPAIR1486,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1486,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1486,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1486,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR1003,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1003,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1003,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1003,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR1487,SYSTEM1.TXT,0.25000,0.09091,0.13333,1

ROUGE-1,RESTAURANTPAIR1487,SYSTEM1.TXT,0.25000,0.09091,0.13333,1

ROUGE-2,RESTAURANTPAIR1487,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1487,SYSTEM1.TXT,0.10000,0.02222,0.03636,1

ROUGE-L,RESTAURANTPAIR1004,SYSTEM1.TXT,0.12500,0.12500,0.12500,1

ROUGE-1,RESTAURANTPAIR1004,SYSTEM1.TXT,0.16667,0.15789,0.16216,1

ROUGE-2,RESTAURANTPAIR1004,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1004,SYSTEM1.TXT,0.06250,0.05882,0.06061,1

ROUGE-L,RESTAURANTPAIR1488,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1488,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1488,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1488,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR1005,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1005,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1005,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1005,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR1489,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1489,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1489,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1489,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR1006,SYSTEM1.TXT,0.14286,0.06250,0.08696,1

ROUGE-1,RESTAURANTPAIR1006,SYSTEM1.TXT,0.42857,0.15789,0.23077,1

ROUGE-2,RESTAURANTPAIR1006,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1006,SYSTEM1.TXT,0.12000,0.03529,0.05455,1

ROUGE-L,RESTAURANTPAIR1007,SYSTEM1.TXT,0.22222,0.12500,0.16000,1

ROUGE-1,RESTAURANTPAIR1007,SYSTEM1.TXT,0.33333,0.15789,0.21429,1

ROUGE-2,RESTAURANTPAIR1007,SYSTEM1.TXT,0.12500,0.05556,0.07692,1

ROUGE-SU4,RESTAURANTPAIR1007,SYSTEM1.TXT,0.11429,0.04706,0.06667,1

ROUGE-L,RESTAURANTPAIR1008,SYSTEM1.TXT,0.25000,0.12500,0.16667,1

ROUGE-1,RESTAURANTPAIR1008,SYSTEM1.TXT,0.40000,0.21053,0.27586,1

ROUGE-2,RESTAURANTPAIR1008,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1008,SYSTEM1.TXT,0.17500,0.08235,0.11200,1

ROUGE-L,RESTAURANTPAIR1009,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1009,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1009,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1009,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR939,SYSTEM1.TXT,0.11111,0.10000,0.10526,1

ROUGE-1,RESTAURANTPAIR939,SYSTEM1.TXT,0.10000,0.10000,0.10000,1

ROUGE-2,RESTAURANTPAIR939,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR939,SYSTEM1.TXT,0.02500,0.02500,0.02500,1

ROUGE-L,RESTAURANTPAIR938,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR938,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR938,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR938,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR937,SYSTEM1.TXT,0.14286,0.10000,0.11765,1

ROUGE-1,RESTAURANTPAIR937,SYSTEM1.TXT,0.14286,0.10000,0.11765,1

ROUGE-2,RESTAURANTPAIR937,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR937,SYSTEM1.TXT,0.04000,0.02500,0.03077,1

