pair_id,pr,re,f
pair_1,0,0,0
pair_10,0.125,0.2,0.153846154
pair_100,1,1,1
pair_1000,0,0,0
pair_1001,0,0,0
pair_1002,0,0,0
pair_1003,0,0,0
pair_1004,0.166666667,0.125,0.142857143
pair_1005,0,0,0
pair_1006,0,0,0
pair_1007,0,0,0
pair_1008,0,0,0
pair_1009,0,0,0
pair_101,0,0,0
pair_1010,0,0,0
pair_1011,0,0,0
pair_1012,0,0,0
pair_1013,0,0,0
pair_1014,0,0,0
pair_1015,0,0,0
pair_1016,0,0,0
pair_1017,0,0,0
pair_1018,0,0,0
pair_1019,0,0,0
pair_102,0,0,0
pair_1020,0,0,0
pair_1021,0.25,0.333333333,0.285714286
pair_1022,0,0,0
pair_1023,0.25,0.5,0.333333333
pair_1024,0.25,0.333333333,0.285714286
pair_1025,0,0,0
pair_1026,0,0,0
pair_1027,0,0,0
pair_1028,0,0,0
pair_1029,0,0,0
pair_103,0,0,0
pair_1030,0.333333333,0.333333333,0.333333333
pair_1031,0,0,0
pair_1032,0.333333333,0.5,0.4
pair_1033,0.25,0.5,0.333333333
pair_1034,0,0,0
pair_1035,0,0,0
pair_1036,0,0,0
pair_1037,0,0,0
pair_1038,0.125,0.2,0.153846154
pair_1039,0,0,0
pair_104,0,0,0
pair_1040,0,0,0
pair_1041,0,0,0
pair_1042,0,0,0
pair_1043,0,0,0
pair_1044,0,0,0
pair_1045,0,0,0
pair_1046,0,0,0
pair_1047,0,0,0
pair_1048,0,0,0
pair_1049,0,0,0
pair_105,0.2,0.125,0.153846154
pair_1050,0,0,0
pair_1051,0,0,0
pair_1052,0,0,0
pair_1053,0,0,0
pair_1054,0,0,0
pair_1055,0,0,0
pair_1056,0,0,0
pair_1057,0,0,0
pair_1058,0,0,0
pair_1059,0,0,0
pair_106,0,0,0
pair_1060,0,0,0
pair_1061,0,0,0
pair_1062,0,0,0
pair_1063,0,0,0
pair_1064,0,0,0
pair_1065,0.5,0.5,0.5
pair_1066,0,0,0
pair_1067,0,0,0
pair_1068,0,0,0
pair_1069,0,0,0
pair_107,0,0,0
pair_1070,0,0,0
pair_1071,0,0,0
pair_1072,0,0,0
pair_1073,0,0,0
pair_1074,0,0,0
pair_1075,0,0,0
pair_1076,0.2,0.2,0.2
pair_1077,0,0,0
pair_1078,0,0,0
