model,laptop-pearson,laptop-kendall,restaurant-pearson,restaurant-kendall
Broadly Different,,,,
ROUGE-1,0.244141870001226,0.179597108327885,0.0223910109731168,0.0336021687372949
ROUGE-2,0.0821428469196378,0.0513479712159914,0.122563030418161,0.101592184183537
ROUGE-L,0.257124843593111,0.165857605337233,0.00619687669114092,0.0279117231023924
SPICE,-0.00572073294309111,-0.026083198951328,0.0137795083782076,0.0319738410635453
WMD,0.037782796165564,0.059912140815894,0.233201492952457,0.110369450712892
SBERT,0.155599975232107,0.108358615869177,0.118835549250852,0.0702618971225358
MoverScore,-0.0325662511429981,-0.0185711487704253,-0.148183356605563,-0.0725056241743495
Broadly Similar,,,,
ROUGE-1,0.0532727186510343,0.0220704248260894,0.137102438978618,0.0761666795873765
ROUGE-2,0.104007203744832,0.069230677830923,0.0726438803966061,0.0362076619272708
ROUGE-L,0.058004310069627,0.021649884773618,0.1520923055734,0.0876028765278811
SPICE,0.131647325723998,0.0918063068148883,0.130225259730134,0.103578689121486
WMD,0.255304007858788,0.177380632085817,0.145682316066704,0.113583547309813
SBERT,0.390673496346988,0.27227644201055,0.399328326544489,0.275865103075349
MoverScore,0.330351323300292,0.230035828160813,0.32317184306876,0.191945196442773
